date,close,score,signal,confidence_pct,regime,S1_signal,S1_conf,S2_signal,S2_conf,S3_signal,S3_conf,S4_signal,S4_conf,S5_signal,S5_conf,S6_signal,S6_conf,S7_signal,S7_conf,S8_signal,S8_conf,S9_signal,S9_conf,S10_signal,S10_conf
2024-01-22,2019.800048828125,0.24059189901591435,1,16.362018095528075,neutral,1.0,0.626,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.45,0.0,0.0,1.0,0.293,-1.0,0.235,0.0,0.0
2024-01-23,2023.699951171875,0.2431570102507193,1,18.23677576880395,neutral,1.0,0.582,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.439,1.0,0.7,1.0,0.29,-1.0,0.494,0.0,0.0
2024-01-24,2013.9000244140625,0.07920050217130568,1,5.940037662847926,neutral,1.0,0.519,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.418,-1.0,0.7,1.0,0.29,-1.0,0.123,0.0,0.0
2024-01-25,2016.9000244140625,-0.020511768089576873,0,1.5383826067182655,ranging,1.0,0.467,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.397,-1.0,0.7,1.0,0.285,-1.0,0.424,0.0,0.0
2024-01-26,2016.800048828125,0.0034147860718508,0,0.25610895538881,ranging,1.0,0.42,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.377,-1.0,0.7,1.0,0.285,-1.0,0.315,0.0,0.0
2024-01-29,2025.199951171875,0.11464619528456171,1,7.796784220508453,ranging,1.0,0.4,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.362,0.0,0.0,1.0,0.284,-1.0,0.432,0.0,0.0
2024-01-30,2031.5,0.21262405703596665,1,13.020511169463642,ranging,1.0,0.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.372,1.0,0.7,1.0,0.286,-1.0,0.22,0.0,0.0
2024-01-31,2048.39990234375,0.2714274640038406,1,16.621469724676444,ranging,1.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.387,1.0,0.7,1.0,0.288,-1.0,0.091,0.0,0.0
2024-02-01,2053.0,0.39639690968165686,1,24.274254108404207,neutral,1.0,0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.409,1.0,0.7,0.0,0.006,1.0,0.117,0.0,0.0
2024-02-02,2036.0999755859375,0.07215523201405849,1,4.418587517664417,neutral,1.0,0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.427,1.0,0.7,0.0,0.004,-1.0,0.693,0.0,0.0
2024-02-05,2025.699951171875,-0.3385782495943839,-1,17.75519319862759,neutral,1.0,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.422,0.0,0.0,0.0,0.011,-1.0,1.0,0.0,0.0
2024-02-06,2034.5,-0.2656590365824078,-1,13.931277408199366,neutral,1.0,0.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417,0.0,0.0,0.0,0.015,-1.0,0.858,0.0,0.0
2024-02-07,2035.199951171875,-0.1803564307116441,-1,9.45797101773796,neutral,1.0,0.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.416,0.0,0.0,0.0,0.012,-1.0,0.696,0.0,0.0
2024-02-08,2032.199951171875,-0.41872322825723307,-1,19.30218709109379,ranging,1.0,0.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.395,0.0,0.0,0.0,0.011,-1.0,0.77,0.0,0.0
2024-02-09,2023.300048828125,-0.36328835000548065,-1,16.746765468460538,ranging,1.0,0.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.376,0.0,0.0,0.0,0.012,-1.0,0.676,0.0,0.0
2024-02-12,2018.199951171875,-0.4172710168372284,-1,19.23524345235318,ranging,1.0,0.337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.352,0.0,0.0,0.0,0.016,-1.0,0.732,0.0,0.0
2024-02-13,1992.9000244140625,-0.2284385694221129,-1,16.153046152292994,ranging,1.0,0.225,0.0,0.0,0.0,0.0,1.0,0.489,0.0,0.0,0.0,0.355,-1.0,0.7,0.0,0.018,-1.0,1.0,0.0,0.0
2024-02-14,1990.300048828125,-0.24776382779404454,-1,17.51954827659049,ranging,1.0,0.115,0.0,0.0,0.0,0.0,1.0,0.474,0.0,0.0,0.0,0.364,-1.0,0.7,0.0,0.028,-1.0,1.0,0.0,0.0
2024-02-15,2002.0999755859375,-0.1995892277534856,-1,14.113089639627594,ranging,1.0,0.052,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.351,-1.0,0.7,0.0,0.029,-1.0,0.72,0.0,0.0
2024-02-16,2011.5,-0.1891307049466818,-1,13.373560399839082,ranging,1.0,0.024,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.334,-1.0,0.7,0.0,0.024,-1.0,0.674,0.0,0.0
2024-02-19,2011.5,-0.05529450009194751,-1,3.4971312474188805,ranging,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.319,0.0,0.0,0.0,0.02,-1.0,0.648,0.0,0.0
2024-02-20,2027.5,0.01811165754125512,0,1.0124724361860789,ranging,1.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,1.0,0.7,0.0,0.02,-1.0,0.439,0.0,0.0
2024-02-21,2022.300048828125,0.05844203132763852,1,3.2670088697943003,ranging,1.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302,1.0,0.7,0.0,0.014,-1.0,0.357,0.0,0.0
2024-02-22,2019.699951171875,0.08681886983392369,1,4.853322366958982,ranging,1.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.301,1.0,0.7,0.0,0.016,-1.0,0.297,0.0,0.0
2024-02-23,2038.5999755859375,0.11118208255818385,1,6.21526736200232,ranging,1.0,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306,1.0,0.7,0.0,0.017,-1.0,0.267,0.0,0.0
2024-02-26,2028.5,-0.08222008956678985,-1,3.7901588552181105,ranging,1.0,0.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.311,0.0,0.0,0.0,0.009,-1.0,0.155,0.0,0.0
2024-02-27,2034.0,-0.06972419096912234,-1,3.2141263919430134,ranging,1.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315,0.0,0.0,0.0,0.013,-1.0,0.149,0.0,0.0
2024-02-28,2033.0,-0.15701856869085068,-1,7.2381983733289745,ranging,1.0,0.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.303,0.0,0.0,0.0,0.011,-1.0,0.281,0.0,0.0
2024-02-29,2045.699951171875,0.053404210194836786,1,2.9853861070085586,ranging,1.0,0.193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.309,1.0,0.7,0.0,0.011,-1.0,0.436,0.0,0.0
2024-03-01,2086.89990234375,-0.10824044791459744,-1,7.653755471908115,ranging,1.0,0.344,0.0,0.0,0.0,0.0,-1.0,0.663,0.0,0.0,0.0,0.348,1.0,0.7,0.0,0.031,-1.0,0.143,0.0,0.0
