weights,train_sharpe,train_trades,train_dd,train_return
"{'S1': 2.0, 'S2': 0.5, 'S5': 1.0, 'S7': 0.5, 'S9': 2.0}",0.07393858531100121,139,-0.259015888727516,-0.002876602675750184
"{'S1': 1.0, 'S2': 1.5, 'S5': 1.0, 'S7': 0.5, 'S9': 1.5}",0.07331920328584782,178,-0.26824686285210697,-0.0018218125430655707
"{'S1': 2.0, 'S2': 0.5, 'S5': 2.0, 'S7': 1.0, 'S9': 2.0}",0.07292847863825326,163,-0.2758929089387153,-0.00443535130351147
"{'S1': 2.0, 'S2': 1.5, 'S5': 2.0, 'S7': 1.0, 'S9': 2.0}",0.06833401115547164,168,-0.280154392951974,-0.01051287063824613
"{'S1': 2.0, 'S2': 1.0, 'S5': 2.0, 'S7': 1.0, 'S9': 2.0}",0.06805242282691704,165,-0.27820547266780427,-0.011102139397349164
"{'S1': 1.0, 'S2': 0.5, 'S5': 1.0, 'S7': 0.5, 'S9': 1.0}",0.06805242282691704,165,-0.27820547266780427,-0.011102139397349164
"{'S1': 2.0, 'S2': 0.5, 'S5': 0.5, 'S7': 0.5, 'S9': 2.0}",0.0656657597240618,139,-0.2740021450993737,-0.014073502900771473
"{'S1': 1.0, 'S2': 1.0, 'S5': 1.5, 'S7': 0.5, 'S9': 1.5}",0.06459410457559424,183,-0.2769605897209836,-0.013533989868512952
"{'S1': 1.0, 'S2': 0.5, 'S5': 1.5, 'S7': 0.5, 'S9': 1.0}",0.0641927136928869,164,-0.2730887455943901,-0.01641889834102539
"{'S1': 1.0, 'S2': 1.0, 'S5': 2.0, 'S7': 0.5, 'S9': 1.5}",0.058810681434941475,185,-0.2905469809485014,-0.021150516646170514
"{'S1': 2.0, 'S2': 1.0, 'S5': 2.0, 'S7': 0.5, 'S9': 2.0}",0.05680288602689745,135,-0.25256832821622976,-0.024933608949568198
"{'S1': 2.0, 'S2': 1.5, 'S5': 1.5, 'S7': 1.0, 'S9': 2.0}",0.05560843195407036,169,-0.2848107284239172,-0.02744560472626012
"{'S1': 1.0, 'S2': 0.5, 'S5': 2.0, 'S7': 0.5, 'S9': 1.0}",0.05340570903181276,164,-0.28308080216071385,-0.03056686627265992
"{'S1': 2.0, 'S2': 2.0, 'S5': 2.0, 'S7': 1.0, 'S9': 2.0}",0.0525494112441499,168,-0.2835314526180681,-0.03156989011268663
"{'S1': 1.0, 'S2': 1.0, 'S5': 1.0, 'S7': 0.5, 'S9': 1.0}",0.0525494112441499,168,-0.2835314526180681,-0.03156989011268663
"{'S1': 1.0, 'S2': 1.0, 'S5': 1.0, 'S7': 0.5, 'S9': 1.5}",0.05247058931011946,183,-0.289009925435611,-0.029346620980320592
"{'S1': 2.0, 'S2': 0.5, 'S5': 1.5, 'S7': 1.0, 'S9': 2.0}",0.05224232348893544,167,-0.2862880437482864,-0.03206881569795339
"{'S1': 2.0, 'S2': 1.5, 'S5': 1.0, 'S7': 1.0, 'S9': 2.0}",0.05121190239509495,170,-0.30252384438628777,-0.033219713245350446
"{'S1': 1.0, 'S2': 1.0, 'S5': 1.5, 'S7': 0.5, 'S9': 1.0}",0.05053315768391683,167,-0.2803001316152771,-0.03435596302333821
"{'S1': 2.0, 'S2': 0.5, 'S5': 1.0, 'S7': 1.0, 'S9': 2.0}",0.04856217138581463,167,-0.2983947874639724,-0.03689094263218384
"{'S1': 2.0, 'S2': 0.5, 'S5': 0.5, 'S7': 1.0, 'S9': 2.0}",0.048231719347832325,167,-0.30971925091580854,-0.03735971299370022
"{'S1': 2.0, 'S2': 1.0, 'S5': 1.5, 'S7': 1.0, 'S9': 2.0}",0.04810827334407828,168,-0.28856740878064147,-0.037592230320504294
"{'S1': 1.0, 'S2': 0.5, 'S5': 0.5, 'S7': 0.5, 'S9': 1.0}",0.04702147842140732,169,-0.30063548747462043,-0.038973781138205044
"{'S1': 2.0, 'S2': 1.0, 'S5': 1.0, 'S7': 1.0, 'S9': 2.0}",0.04702147842140732,169,-0.30063548747462043,-0.038973781138205044
"{'S1': 2.0, 'S2': 1.0, 'S5': 0.5, 'S7': 1.0, 'S9': 2.0}",0.04667566381838082,169,-0.31192378425476674,-0.03948928408944563
"{'S1': 1.0, 'S2': 1.0, 'S5': 2.0, 'S7': 0.5, 'S9': 1.0}",0.042591224743885374,165,-0.2883708080128823,-0.04449947566966683
"{'S1': 2.0, 'S2': 1.0, 'S5': 1.5, 'S7': 0.5, 'S9': 2.0}",0.041872833539886425,138,-0.263298305984779,-0.04436985490895873
"{'S1': 2.0, 'S2': 1.5, 'S5': 0.5, 'S7': 1.0, 'S9': 2.0}",0.040878623744517846,173,-0.3137816615912411,-0.04678063022016421
"{'S1': 2.0, 'S2': 2.0, 'S5': 1.5, 'S7': 1.0, 'S9': 2.0}",0.03776859584389439,171,-0.29113774574982165,-0.05079001169924724
"{'S1': 2.0, 'S2': 1.0, 'S5': 1.0, 'S7': 0.5, 'S9': 2.0}",0.035567750968907505,137,-0.26196031366526995,-0.05223258509136819
"{'S1': 1.5, 'S2': 1.5, 'S5': 1.0, 'S7': 0.5, 'S9': 1.5}",0.03471341734107202,148,-0.2753245152829815,-0.0533210303163244
"{'S1': 2.0, 'S2': 2.0, 'S5': 1.0, 'S7': 1.0, 'S9': 2.0}",0.03444720586651301,170,-0.3057959607541876,-0.05503942600649425
"{'S1': 1.0, 'S2': 1.0, 'S5': 0.5, 'S7': 0.5, 'S9': 1.0}",0.03444720586651301,170,-0.3057959607541876,-0.05503942600649425
"{'S1': 1.5, 'S2': 1.5, 'S5': 2.0, 'S7': 0.5, 'S9': 1.5}",0.03253734436373132,147,-0.2669643636988732,-0.05612735012114245
"{'S1': 2.0, 'S2': 2.0, 'S5': 0.5, 'S7': 1.0, 'S9': 2.0}",0.032081721525631164,173,-0.3170009634110801,-0.05812616920981328
"{'S1': 1.5, 'S2': 1.5, 'S5': 1.5, 'S7': 0.5, 'S9': 1.5}",0.029825554556398307,147,-0.2694916731678909,-0.059535854069955874
